"id","file","sentences","class",,
33,"C10_Estadao_24-09-2022_21h45","A corrupção foi o principal tema escolhido pelo público nas redes para comentar sobre o debate dos presidenciáveis neste sábado, 24 de setembro, promovido pelo Estadão, a Rádio Eldorado e em parceria com SBT, CNN Brasil, Veja e NovaBrasil FM.",0,,
34,"C10_Estadao_24-09-2022_21h45","Adversários subiram tags como “fugiu” e “Cadê o Lula” entre as mais comentadas do Twitter.",0,,
35,"C10_Estadao_24-09-2022_21h45","Além disso, apesar da ausência no debate, o ex-presidente Luiz Inácio Lula da Silva (PT) rivalizou com o presidente Jair Bolsonaro (PL) em número de menções, sejam elas positivas ou negativas.",1,,
36,"C10_Estadao_24-09-2022_21h45","Ao perguntar a Felipe d’Ávila (Novo) no primeiro bloco, Soraya fez uma charada para criticar Bolsonaro:",0,,
37,"C10_Estadao_24-09-2022_21h45","As redes reagiram com os termos “O que é o que é”, “Viagra” e “vara curta” entrando nos trending topics, que listam os assuntos mais comentados do Twitter.”",0,,
38,"C10_Estadao_24-09-2022_21h45","Até o final do debate, o monitor criado em parceria com a empresa",0,,
39,"C10_Estadao_24-09-2022_21h45","Dados do Monitor de Redes do Estadão mostram que o assunto concentrou 40% dos posts sobre os candidatos no Twitter durante o evento.",0,"pintura de jogada","opinion staements"
40,"C10_Estadao_24-09-2022_21h45","Desconhecido dos eleitores, o indicado do presidente da sigla, Roberto Jefferson, atuou como linha auxiliar de Bolsonaro no debate, sendo escolhido duas vezes como alvo das perguntas do presidente e tecendo elogios ao seu governo.",1,,
41,"C10_Estadao_24-09-2022_21h45","Discutiu ainda sobre feminismo com Tebet e disse ser contra a descriminalização do aborto e o sistema de cotas.",0,,
42,"C10_Estadao_24-09-2022_21h45","Ela obteve 31,6 mil menções no levantamento, contra 31,4 mil do pedetista.",0,,
43,"C10_Estadao_24-09-2022_21h45","Em dobradinha com Bolsonaro, alegou perseguição contra cristãos e associou Lula ao regime autoritário de Daniel Ortega, na Nicarágua.",0,,
44,"C10_Estadao_24-09-2022_21h45","Em outro momento, advertiu Bolsonaro a não “cutucar onça com vara curta”.",0,,
45,"C10_Estadao_24-09-2022_21h45","Em quinto no número de posts coletados pelo Monitor de Redes e em terceiro nas buscas no Google aparece Padre Kelmon (PTB).",0,,
46,"C10_Estadao_24-09-2022_21h45","Excluindo termos genéricos, #BolsonaroNoPrimeiroTurno22 foi a melhor colocada, em quarto.",0,,
47,"C10_Estadao_24-09-2022_21h45","Nenhuma hashtag de apoio a candidatos liderou os comentários no período analisado.",0,,
48,"C10_Estadao_24-09-2022_21h45","No Google, o nome do petista foi o mais pesquisado, seguido pelo atual presidente.",0,,
49,"C10_Estadao_24-09-2022_21h45","O principal foco de interesse sobre Lula era a sua ausência no debate.",0,,
50,"C10_Estadao_24-09-2022_21h45","Opositores investiram na tag “Bolsonaro corrupto”.",0,,
51,"C10_Estadao_24-09-2022_21h45","Padre Kelmon também ajudou a colocar a pauta de costumes como segunda mais frequente no Twitter durante o debate.",0,,
52,"C10_Estadao_24-09-2022_21h45","Quanto a Bolsonaro, adversários conseguiram atrair o público para pautas como a compra de próteses penianas e Viagra para o Exército, assim como o orçamento secreto, esquema que envolve liberação de emendas em troca de apoio revelado pelo Estadão.",0,,
53,"C10_Estadao_24-09-2022_21h45","Quem mais gerou memes no debate, no entanto, foi a candidata Soraya Thronicke (União Brasil).",0,,
54,"C10_Estadao_24-09-2022_21h45","Simone Tebet (MDB) superou Ciro Gomes (PDT) e ocupou o terceiro posto, em um momento em que ambos tentam evitar a perda de apoio para Lula, por conta do fenômeno do “voto útil”.",0,,
55,"C10_Estadao_24-09-2022_21h45","tira remédio da Farmácia Popular, mas mantém a compra de Viagra; não compra vacina para a covid-19, mas distribui prótese peniana para seus amigos?",0,,
56,"C10_Estadao_24-09-2022_21h45","Torabit havia coletado mais de 328 mil tuítes — ao menos 110 mil citaram diretamente Bolsonaro; sobre Lula, eram 92 mil.",0,,
57,"C10_Estadao_24-09-2022_21h45_titulo","Corrupção pauta a repercussão nas redes sobre o debate entre candidatos a presidente Estadão/Eldorado.",0,,
58,"C10_Estadao_24-09-2022_21h45_titulo","Tema foi o mais comentado no Twitter após evento marcado por memes, ausência de Lula e aliado desconhecido de Bolsonaro.",0,,
72,"C10_Folha_24-09-2022_19h55","""Qualquer coisinha, ele faz um decreto de sigilo de 100 anos"".",-1,,
59,"C10_Folha_24-09-2022_19h55","""Todo dia ele fala 'eu não sou ladrão'.",-1,,
60,"C10_Folha_24-09-2022_19h55","A ausência do líder nas pesquisas foi criticada pelos demais candidatos.",0,,
61,"C10_Folha_24-09-2022_19h55","Bolsonaro disse que essa atitude demonstra falta de compromisso com a população, Ciro chegou a falar que o petista está de salto alto, e Tebet disse que o ex-presidente pede à população um cheque em branco —a expressão tem sido usada diante da falta de detalhes sobre o que pretende fazer se for eleito.",0,,
62,"C10_Folha_24-09-2022_19h55","Ele acusou tanto Tebet como Soraya de se beneficiarem com verbas das emendas de relator, o chamado orçamento secreto, gastas com pouca transparência, e disse que o Orçamento é feito a quatro mãos, com o Executivo e o Legislativo.",0,,
63,"C10_Folha_24-09-2022_19h55","Ele deve participar do debate da Globo na quinta-feira (29).",0,,
64,"C10_Folha_24-09-2022_19h55","Ele vai ver se é ladrão ou não quando eu tomar posse e acabar com esse sigilo.",-1,,
65,"C10_Folha_24-09-2022_19h55","Em debate marcado pela ausência do ex-presidente Luiz Inácio Lula da Silva (PT), o presidente Jair Bolsonaro (PL) se tornou alvo principal das críticas dos adversários e protagonizou embates com Ciro Gomes (PDT), Simone Tebet (MDB) e Soraya Thronicke (União Brasil).",0,,
66,"C10_Folha_24-09-2022_19h55","Enquanto seus adversários debatiam no estúdio, o ex-presidente criticava Bolsonaro em Itaquera, na zona leste de São Paulo.",0,"grandes danos materiais","sensationalism"
67,"C10_Folha_24-09-2022_19h55","Na primeira pergunta, Tebet cobrou o presidente sobre o corte de recursos para merenda e creches, disse que mães têm de explicar a seus filhos palavras chulas que o presidente diz e indagou por que ele não dá prioridade para as crianças.",0,,
68,"C10_Folha_24-09-2022_19h55","Na resposta, Bolsonaro insinuou que a emedebista dá apoio velado a Lula e disse que fala sim alguns palavrões, mas não defende ladrão.",0,,
69,"C10_Folha_24-09-2022_19h55","O debate deste sábado (24) foi organizado em pool por SBT, CNN Brasil, O Estado de S. Paulo, Terra, Veja e as rádios Eldorado e Nova Brasil.",0,,
70,"C10_Folha_24-09-2022_19h55","O petista disse que não poderia comparecer porque já tinha compromissos agendados previamente e porque não haveria tempo para ele se preparar.",0,,
71,"C10_Folha_24-09-2022_19h55","O púlpito reservado a Lula ficou vazio.",0,,
73,"C10_Folha_24-09-2022_19h55","Sem o petista, Bolsonaro protagonizou os embates mais duros com as senadoras Tebet e Soraya.",1,,
74,"C10_Folha_24-09-2022_19h55","Substituto do bolsonarista Roberto Jefferson (PTB), impedido de concorrer, Padre Kelmon (PTB) fez dobradinhas com o presidente, em meio a perguntas permeadas críticas à esquerda sobre aborto e perseguição aos cristãos na Nicarágua.",1,,
75,"C10_Folha_24-09-2022_19h55","Vou acabar no primeiro dia com isso, para [a gente] ver o que está escondido"", disse.",0,,
76,"C10_Folha_24-09-2022_19h55_titulo","Bolsonaro trava embate com Ciro, Tebet e Soraya, e Lula é atacado por ausência em debate.",1,,
77,"C10_Folha_24-09-2022_19h55_titulo","Padre Kelmon (PTB) faz dobradinha com Bolsonaro e pauta aborto no encontro.",0,,
78,"C10_OGlobo_24-09-2022_18h15","""O candidato Lula, que não veio, por estar com salto alto ou achar que já ganhou...",-1,,
79,"C10_OGlobo_24-09-2022_18h15","""Uma sabatina, um debate, é como uma entrevista de emprego.",-1,,
80,"C10_OGlobo_24-09-2022_18h15","A primeira candidata a comentar a ausência de Lula foi Soraya Thronicke.",0,,
81,"C10_OGlobo_24-09-2022_18h15","Ciro Gomes disse que o petista ""desrespeita"" o eleitor ao não comparecer.",0,,
82,"C10_OGlobo_24-09-2022_18h15","Esse é o candidato Luiz Inácio Lula da Silva, que não merece o seu voto de maneira nenhuma"".",0,,
83,"C10_OGlobo_24-09-2022_18h15","Jair Bolsonaro também atacou Lula - a quem voltou a chamar de ""presidiário"" - pela ausência no debate.",1,,
84,"C10_OGlobo_24-09-2022_18h15","Mas ele não vem mesmo porque não tem como explicar nem as promessas, porque tem quatro mandatos que você deu a ele e ele não cumpriu, nem a denúncia de corrupção"", disse Ciro.",0,,
85,"C10_OGlobo_24-09-2022_18h15","Na sua participação inicial, a presidenciável do União Brasil afirmou:",0,"pior ponto de lentidão ",
86,"C10_OGlobo_24-09-2022_18h15","O debate, o segundo realizado nestas eleições, foi promovido por um pool de veículos de imprensa formado por SBT, CNN, 'Estadão'/Rádio Eldorado, Terra, Veja e Rádio Nova Brasil FM.",0,,
87,"C10_OGlobo_24-09-2022_18h15","O segundo debate presidencial das eleições de 2022 realizado neste sábado (24) foi marcado por acusações de corrupção na gestão Jair Bolsonaro (PL) e críticas à ausência do ex-presidente Luiz Inácio Lula da Silva (PT) - que lidera as pesquisas de intenção de voto.",0,,
88,"C10_OGlobo_24-09-2022_18h15","Participam do debate: Jair Bolsonaro (PL), Ciro Gomes (PDT), Simone Tebet (MDB), Soraya Thronicke (União Brasil), Felipe D'Ávila (Novo) e Padre Kelmon (PTB).",0,,
89,"C10_OGlobo_24-09-2022_18h15","Portanto, ele desrespeita a todos nós, seus oponentes, e desrespeita especialmente a você [telespectador].",0,,
90,"C10_OGlobo_24-09-2022_18h15","Você aí na sua casa contrataria um candidato que faltou à entrevista de emprego?",0,,
91,"C10_OGlobo_24-09-2022_18h15_titulo","Bolsonaro (PL), Ciro (PDT), Tebet (MDB), Soraya (União Brasil), Felipe D'Ávila (Novo) e Padre Kelmon (PTB) participaram de evento promovido por pool de veículos de imprensa.",0,,
92,"C10_OGlobo_24-09-2022_18h15_titulo","Segundo debate tem acusações de corrupção contra Bolsonaro e críticas à ausência de Lula.",0,,
93,"C11_Estadao_08-08-2006_12h11","A decisão de manter os veículos nas garagens na segunda foi tomada gradualmente pelas cooperativas, depois de um suposto manuscrito do PCC ter sido jogado no Terminal Cachoeirinha, zona norte.",0,,
94,"C11_Estadao_08-08-2006_12h11","A ordem era para que ônibus e lotações deixassem de circular, sob pena de motoristas, cobradores e fiscais serem mortos.",0,,
95,"C11_Estadao_08-08-2006_12h11","A Transcooper recolocou os coletivos nas ruas às 4h30 e a Nova Aliança, às 7 da manhã.",0,,
96,"C11_Estadao_08-08-2006_12h11","Além de bases da polícia, sofreram ataques 22 ônibus, 34 bancos e 12 postos de gasolina.",0,,
97,"C11_Estadao_08-08-2006_12h11","Após uma segunda-feira em que foram registrados 22 ataques a ônibus em toda a cidade de São Paulo, na terceira onda de violência atribuída à facção criminosa Primeiro Comando da Capital (PCC) no Estado de São Paulo, a manhã de terça-feira, 8, foi normal na capital paulista.",0,,
98,"C11_Estadao_08-08-2006_12h11","As cooperativas de vans Transcooper, na zona oeste, e Nova Aliança, na zona norte, que chegaram a recolher os ônibus durante a segunda-feira, voltaram a circular.",0,,
99,"C11_Estadao_08-08-2006_12h11","De acordo com a CET, o excesso de veículos causa a lentidão e não há nenhum registro de acidente.",0,"muito mais mérito","opinion staements"
100,"C11_Estadao_08-08-2006_12h11","De acordo com a São Paulo Transportes (SPTrans), ambas circulam com 100% da frota.",0,,"opinion staements"
101,"C11_Estadao_08-08-2006_12h11","De acordo com medição da Companhia de Engenharia de Tráfego (CET), às 11h30 desta terça-feira, 8, foram registrados 62 quilômetros de lentidão, bem superior à média registrada na semana passada, de 20 km.",0,"frango","opinion staements"
102,"C11_Estadao_08-08-2006_12h11","Foram 78 atentados atribuídos ao Primeiro Comando da Capital (PCC) na Grande São Paulo e em pelo menos cinco cidades do interior.",0,,
103,"C11_Estadao_08-08-2006_12h11","Mas, de acordo com as assessorias de ambas, desde a segunda o atendimento não sofreu nenhum tipo de interrupção, pois apesar dos estragos, a estrutura dos prédios não ficou comprometida.",0,,
104,"C11_Estadao_08-08-2006_12h11","No sentido Castelo Branco, também na pista expressa há 4 quilômetros de congestionamento após a Ponte Aricanduva até a Ponte Vila Maria.",0,,
105,"C11_Estadao_08-08-2006_12h11","Os dois prédios foram alvos de ataques na madrugada de segunda-feira e tiveram suas portas principais destruídas por bombas de fabricação caseira.",0,,
106,"C11_Estadao_08-08-2006_12h11","Os piores pontos estão na Marginal do Tietê, sentido Ayrton Senna, na pista expressa, da Ponte Freguesia do Ó até a Rua Azurita com 7,7 quilômetros.",1,,
107,"C11_Estadao_08-08-2006_12h11","Os prédios do Ministério Público e da Secretaria da Fazenda tiveram as entradas destruídas por bombas.",0,,
108,"C11_Estadao_08-08-2006_12h11","Outras três cooperativas das zonas leste e noroeste da capital, People, Associação Paulistana e Cooper Alfa, que também chegaram a recolher os veículos na segunda, operam normalmente.",0,,
109,"C11_Estadao_08-08-2006_12h11","Prédios do MPE e da Secretaria da Fazenda O Ministério Público Estadual (MPE) na Rua Riachuelo e a Secretaria Estadual da Fazenda, na Rua Rangel Pestana, no centro de São Paulo, também funcionam normalmente nesta terça.",0,,
110,"C11_Estadao_08-08-2006_12h11","Segundo a São Paulo Transportes (SPTrans), todas as empresas de ônibus e os terminais funcionam normalmente e não houve mais ataques a veículos.",0,,
111,"C11_Estadao_08-08-2006_12h11","Trânsito. Apesar do clima de tranqüilidade na capital, o congestionamento está alto na cidade.",0,,
112,"C11_Estadao_08-08-2006_12h11_titulo","Após ataques, paulistano tem manhã de terça-feira normal.",0,,
113,"C11_Folha_08-08-2006","A Assessoria Militar do Ministério Público, responsável pela segurança do prédio, acredita que a ação foi planejada, pois a bomba foi colocada -e não lançada- na porta do prédio e acionada por dispositivo de tempo.",0,,
114,"C11_Folha_08-08-2006","A destruição maior foi no interior do prédio, onde ficava a recepção.",0,"mind reading ",
115,"C11_Folha_08-08-2006","A explosão fez um buraco no degrau da escada onde a bomba foi colocada.",0,"atacou",
116,"C11_Folha_08-08-2006","A única testemunha da explosão, um taxista que passava pela local e teve os vidros do carro destruídos, disse aos policiais não ter visto ninguém na rua.",0,"astro argentino","subjective qualifying adjectives"
117,"C11_Folha_08-08-2006","Bombas de fabricação caseira explodiram na sede do Ministério Público de São Paulo, no edifício que abriga a Secretaria da Fazenda e no fórum de Santo André.",0,,
118,"C11_Folha_08-08-2006","Com o impacto, o anteparo de vidro à prova de bala que ficava em frente à porta tombou, o detector de metal e o aparelho de raio",0,,
119,"C11_Folha_08-08-2006","Foi o primeiro ataque ao Ministério Público na capital paulista e o segundo no Estado -o primeiro foi em Mogi das Cruzes, em julho.",0,,
120,"C11_Folha_08-08-2006","Ninguém ficou ferido.",0,,
121,"C11_Folha_08-08-2006","No Ministério Público, o artefato foi colocado no lado de fora, em frente à porta principal, na rua Riachuelo, 115, no centro, e foi detonado às 5h10.",0,,
122,"C11_Folha_08-08-2006","O expediente foi suspenso no início da manhã e, por volta das 10h, foi liberada a entrada pela avenida Brigadeiro Luís Antônio.",0,,
123,"C11_Folha_08-08-2006","O procurador-geral de Justiça, Rodrigo Rebello Pinho, disse que os promotores não vão se intimidar com o ataque, atribuído ao PCC.",0,,
124,"C11_Folha_08-08-2006","Os vidros da porta e das janelas foram quebrados, e os estilhaços estavam por toda a entrada e também na calçada.",0,,
125,"C11_Folha_08-08-2006","Pinho pediu reforço na segurança do prédio e o promotor que quiser também poderá ter escolta policial.",0,,
126,"C11_Folha_08-08-2006","Prédios públicos voltaram a ser alvo do PCC no começo da manhã de ontem.",0,,
127,"C11_Folha_08-08-2006","Somente no fim da manhã o expediente voltou ao normal.",0,,
128,"C11_Folha_08-08-2006","X foram destruídos e o forro de gesso que cobria o teto caiu.",0,,
129,"C11_Folha_08-08-2006_titulo","Artefatos de fabricação caseira foram lançados na sede da Secretaria Estadual da Fazenda e no fórum de Santo André.",0,,
130,"C11_Folha_08-08-2006_titulo","Explosão fez buraco na escada e destroçou detector de metal, raio-X e forro do teto; expediente ficou suspenso de manhã.",0,,
131,"C11_Folha_08-08-2006_titulo","Sede do Ministério Público é alvo de bomba.",0,,
132,"C11_OGlobo_07-08-2006_08h29","A bomba, composta por parafusos e materiais metálicos, provocou estragos em portas e janelas que ficam a cerca de 20 metros do local da explosão.",0,,
133,"C11_OGlobo_07-08-2006_08h29","A rua foi interditada pela polícia.",0,"muitas outras, ","sensationalism"
134,"C11_OGlobo_07-08-2006_08h29","A Vara de Execuções Criminais do Estado já registrou 900 pedidos de autorização de saída temporária.",0,,
135,"C11_OGlobo_07-08-2006_08h29","As ações criminosas podem ter sido ordenadas pelos líderes do Primeiro Comando da Capital (PCC), que haviam prometido retomar os ataques no Estado de São Paulo no Dia dos Pais, no próximo domingo.",0,,
136,"C11_OGlobo_07-08-2006_08h29","Na capital, houve ataques a outros quatro ônibus.",0,,
137,"C11_OGlobo_07-08-2006_08h29","Na região do ABC Paulista pelo menos dez ônibus foram incendiados - sete em Mauá e três em Santo André.",0,,
138,"C11_OGlobo_07-08-2006_08h29","No momento, apenas um taxista e um passageiro estavam na rua.",0,,
139,"C11_OGlobo_07-08-2006_08h29","O benefício depende de decisão judicial após análise do Ministério Público e os presos poderiam deixar a cadeia no período do dia 9 até 15 de agosto.",0,,
140,"C11_OGlobo_07-08-2006_08h29","O prédio da secretaria da Fazenda, no centro, foi atingido por três bombas caseiras.",0,,
141,"C11_OGlobo_07-08-2006_08h29","Os bandidos atacaram agências bancárias, bases policiais e prédios públicos com bombas e tiros.",1,,
142,"C11_OGlobo_07-08-2006_08h29","Os líderes da facção criminosa PCC haviam prometido uma nova onda de ataques caso o Ministério Público de São Paulo negasse a saída temporária de presos em virtude do Dia dos Pais.",0,,
143,"C11_OGlobo_07-08-2006_08h29","Uma bomba caseira foi atirada contra a sede do Ministério Público (MP).",0,,
144,"C11_OGlobo_07-08-2006_08h29","Uma bomba caseira foi jogada contra o prédio do Ministério Público, na capital do estado.",0,,
145,"C11_OGlobo_07-08-2006_08h29","Uma nova série de ataques criminosos foi registrada na madrugada desta segunda-feira, dia 7, em São Paulo e municípios do interior paulista.",1,,
146,"C11_OGlobo_07-08-2006_08h29_titulo","PCC realiza nova onda de ataques e sede do MP é atingida por bomba",0,,
147,"C12_Estadao_07-08-2006_02h29","A agência sul-coreana ""Yonhap"" disse na sexta-feira que um alto funcionário de Pyongyang pediu o envio urgente de alimentos para seu país.",0,,
148,"C12_Estadao_07-08-2006_02h29","A Coréia do Sul interrompeu em julho o envio de alimentos ao vizinho do norte depois de o regime comunista disparar sete mísseis balísticos em um gesto de desafio.",0,"opinativo/especulativo",
149,"C12_Estadao_07-08-2006_02h29","A Federação Internacional da Cruz Vermelha indicou na sexta-feira que cerca de 17 mil famílias ficaram desabrigadas por causa das inundações.",0,,
150,"C12_Estadao_07-08-2006_02h29","Além do número de mortos e desaparecidos, o ""Choson Sinbo"" acrescenta um total de 3.043 feridos.",0,,
151,"C12_Estadao_07-08-2006_02h29","Analistas indicaram nos últimos dias que o país pode passar por outra crise com a falta de alimentos, que nos anos 90 matou de fome entre um milhão e 2,5 milhões de pessoas, segundo diferentes dados.",0,,
152,"C12_Estadao_07-08-2006_02h29","Apesar de o Governo norte-coreano ter rejeitado o envio de ajuda estrangeira para atenuar os danos causados pelas chuvas torrenciais, a emissora de TV oficial do país começou a transmitir nos últimos dias notícias sobre a iminente chegada de comida e bens de primeira necessidade do exterior.",0,,
153,"C12_Estadao_07-08-2006_02h29","As inundações destruíram grande parte dos cultivos de cereais na Coréia do Norte, que já sofre com um forte racionamento.",0,,
154,"C12_Estadao_07-08-2006_02h29","Já está em 549 mortos e 295 desaparecidas com as inundações que afetaram a Coréia do Norte, informou hoje um jornal pró norte-coreano publicado no Japão, que citou fontes oficiais de Pyongyang.",0,,
155,"C12_Estadao_07-08-2006_02h29","No entanto, a publicação, que cita autoridades norte-coreanas, desmentiu o número de até 10 mil mortos pelas inundações, calculado por algumas ONGs que trabalham na Coréia do Norte.",0,,
156,"C12_Estadao_07-08-2006_02h29","No entanto, depois de conhecer a dimensão das inundações, o Governo de Seul manifestou sua predisposição em oferecer ajuda à Coréia do Norte caso aconteça uma nova crise alimentícia.",0,,
157,"C12_Estadao_07-08-2006_02h29","Segundo o jornal ""Choson Sinbo"", publicado pela Associação de Residentes Coreanos no Japão, que é próxima ao regime comunista da Coréia do Norte, as fortes chuvas que alagaram grande parte desse país na segunda metade de julho provocaram ""muitos danos"".",0,,
158,"C12_Estadao_07-08-2006_02h29_titulo","Mais de 500 pessoas morreram em inundações na Coréia do Norte",0,,
159,"C12_Folha_07-08-2006_08h30","A agência sul-coreana Yonhap disse na sexta-feira que um alto funcionário de Pyongyang pediu o envio urgente de alimentos para seu país.",0,,
160,"C12_Folha_07-08-2006_08h30","A Coréia do Sul interrompeu em julho o envio de alimentos ao vizinho do norte depois de o regime comunista disparar sete mísseis balísticos.",0,,
161,"C12_Folha_07-08-2006_08h30","A Federação Internacional da Cruz Vermelha afirmou na sexta-feira (4) que cerca de 17 mil famílias ficaram desabrigadas por causa das inundações.",0,,
162,"C12_Folha_07-08-2006_08h30","Além do número de mortos e desaparecidos, o ""Choson Sinbo"" acrescenta um total de 3.043 feridos.",0,,
163,"C12_Folha_07-08-2006_08h30","Analistas indicaram nos últimos dias que o país pode passar por outra crise com a falta de alimentos, que nos anos 90 matou de fome entre 1 milhão e 2,5 milhões de pessoas, segundo diferentes dados.",0,,
164,"C12_Folha_07-08-2006_08h30","Apesar de o governo norte-coreano ter rejeitado o envio de ajuda estrangeira para atenuar os danos causados pelas chuvas torrenciais, a emissora de TV oficial do país começou a transmitir nos últimos dias notícias sobre a iminente chegada de comida e bens de primeira necessidade do exterior.",0,,
165,"C12_Folha_07-08-2006_08h30","As inundações destruíram grande parte dos cultivos de cereais na Coréia do Norte, que já sofre com um forte racionamento.",0,,
166,"C12_Folha_07-08-2006_08h30","No entanto, a publicação, que cita autoridades norte-coreanas, desmentiu o número de até 10 mil mortos pelas inundações, calculado por algumas ONGs que trabalham na Coréia do Norte.",0,,
167,"C12_Folha_07-08-2006_08h30","No entanto, depois de conhecer a dimensão das inundações, o governo de Seul manifestou sua predisposição em oferecer ajuda à Coréia do Norte caso aconteça uma nova crise alimentícia.",0,,
168,"C12_Folha_07-08-2006_08h30","Segundo o jornal ""Choson Sinbo"", publicado pela Associação de Residentes Coreanos no Japão (próxima ao regime comunista da Coréia do Norte), as fortes chuvas que alagaram grande parte desse país na segunda metade de julho provocaram ""muitos danos"".",0,,
