file,id_sente,id_article,domain,year,sentences,classe
C1_Folha_04-08-2006_07h42,19,c1f,world,2006,"Segundo uma porta-voz da ONU, o avião, de fabricação russa, estava tentando aterrissar no aeroporto de Bukavu em meio a uma tempestade.",0
C1_Folha_04-08-2006_07h42_titulo,20,c1f,world,2006,Queda de avião mata 17 pessoas no Congo.,0
C1_OGlobo_02-09-2006_11h58,21,c1o,world,2006,"""Não foram encontrados sobreviventes entre os ocupantes do avião"" - 15 passageiros e dois tripulantes -, disse aos jornalistas Amy Cathey, responsável da base em Goma (em Kivu Norte) da companhia Air Serv International, especializada no transporte de equipamentos e funcionários de organizações humanitárias.",-1
C1_OGlobo_02-09-2006_11h58,22,c1o,world,2006,"Havia a previsão de escalas em Mbanka, Kisangani e Bukavu, em cujas proximidades caiu por causa das condições meteorológicas negativas, declarou Cathey.",0
C1_OGlobo_02-09-2006_11h58,23,c1o,world,2006,"Membros da Missão de Observação das Nações Unidas na RDC (Monuc) se dirigem para o local do acidente para resgatarem os corpos das vítimas, cujas identidades e nacionalidades não foram divulgadas pela ONU ou pela companhia aérea até o momento.",0
C1_OGlobo_02-09-2006_11h58,24,c1o,world,2006,"O aparelho, um Beechcraft 1900 com capacidade para 19 passageiros, pertencia à companhia aérea sul-africana Semer e foi fretado pela Air Serv para realizar vôos duas vezes por semana em direção a Bukavu com ajuda humanitária, disse, por sua parte, o Escritório de Coordenação de Assuntos Humanitários (Ocha), desde Genebra.",0
C1_OGlobo_02-09-2006_11h58,25,c1o,world,2006,"O avião decolou na última segunda do aeroporto de Ndolo, na capital Kinshasa, com destino a Goma.",0
C1_OGlobo_02-09-2006_11h58,26,c1o,world,2006,"Os corpos de 17 pessoas foram encontrados nesta terça-feira (17) entre os destroços de um avião que caiu um dia antes nas proximidades de Bukavu, capital da província de Kivu Sul, no nordeste da República Democrática do Congo (RDC), confirmaram fontes da companhia que fretou a aeronave.",0
C1_OGlobo_02-09-2006_11h58_titulo,27,c1o,world,2006,Aeronave levava ajuda humanitária e caiu por causa do mau tempo.,0
C1_OGlobo_02-09-2006_11h58_titulo,28,c1o,world,2006,Ninguém que estava a bordo sobreviveu.,0
C1_OGlobo_02-09-2006_11h58_titulo,29,c1o,world,2006,Queda de avião mata 17 pessoas na República Democrática do Congo.,0
C10_Estadao_24-09-2022_21h44,30,c10e,politics,2022,"Não reajusta a merenda escolar, mas gasta milhões com leite condensado;",-1
C10_Estadao_24-09-2022_21h45,31,c10e,politics,2022,"#LulaNo1ºTurno, a melhor posicionada do principal adversário na corrida presidencial, ficou em nono.",0
C10_Estadao_24-09-2022_21h45,32,c10e,politics,2022,"A candidata passou praticamente todo o debate no segundo lugar, atrás apenas da hashtag #DebateNoSBT, mas ficou apenas em quinto no número total de posts, parte deles ataques de bolsonaristas e trocadilhos pejorativos com o seu sobrenome.",1
C10_Estadao_24-09-2022_21h45,33,c10e,politics,2022,"A corrupção foi o principal tema escolhido pelo público nas redes para comentar sobre o debate dos presidenciáveis neste sábado, 24 de setembro, promovido pelo Estadão, a Rádio Eldorado e em parceria com SBT, CNN Brasil, Veja e NovaBrasil FM.",0
C10_Estadao_24-09-2022_21h45,34,c10e,politics,2022,Adversários subiram tags como “fugiu” e “Cadê o Lula” entre as mais comentadas do Twitter.,1
C10_Estadao_24-09-2022_21h45,35,c10e,politics,2022,"Além disso, apesar da ausência no debate, o ex-presidente Luiz Inácio Lula da Silva (PT) rivalizou com o presidente Jair Bolsonaro (PL) em número de menções, sejam elas positivas ou negativas.",1
C10_Estadao_24-09-2022_21h45,36,c10e,politics,2022,"Ao perguntar a Felipe d?Ávila (Novo) no primeiro bloco, Soraya fez uma charada para criticar Bolsonaro:",0
C10_Estadao_24-09-2022_21h45,37,c10e,politics,2022,"As redes reagiram com os termos ""O que é o que é"", ""Viagra"" e ""vara curta"" entrando nos trending topics, que listam os assuntos mais comentados do Twitter.",0
C10_Estadao_24-09-2022_21h45,38,c10e,politics,2022,"Até o final do debate, o monitor criado em parceria com a empresa",0
C10_Estadao_24-09-2022_21h45,39,c10e,politics,2022,Dados do Monitor de Redes do Estadão mostram que o assunto concentrou 40% dos posts sobre os candidatos no Twitter durante o evento.,0
C10_Estadao_24-09-2022_21h45,40,c10e,politics,2022,"Desconhecido dos eleitores, o indicado do presidente da sigla, Roberto Jefferson, atuou como linha auxiliar de Bolsonaro no debate, sendo escolhido duas vezes como alvo das perguntas do presidente e tecendo elogios ao seu governo.",1
C10_Estadao_24-09-2022_21h45,41,c10e,politics,2022,Discutiu ainda sobre feminismo com Tebet e disse ser contra a descriminalização do aborto e o sistema de cotas.,0
C10_Estadao_24-09-2022_21h45,42,c10e,politics,2022,"Ela obteve 31,6 mil menções no levantamento, contra 31,4 mil do pedetista.",0
C10_Estadao_24-09-2022_21h45,43,c10e,politics,2022,"Em dobradinha com Bolsonaro, alegou perseguição contra cristãos e associou Lula ao regime autoritário de Daniel Ortega, na Nicarágua.",1
C10_Estadao_24-09-2022_21h45,44,c10e,politics,2022,"Em outro momento, advertiu Bolsonaro a não ""cutucar onça com vara curta"".",-1
C10_Estadao_24-09-2022_21h45,45,c10e,politics,2022,Em quinto no número de posts coletados pelo Monitor de Redes e em terceiro nas buscas no Google aparece Padre Kelmon (PTB).,0
C10_Estadao_24-09-2022_21h45,46,c10e,politics,2022,"Excluindo termos genéricos, #BolsonaroNoPrimeiroTurno22 foi a melhor colocada, em quarto.",0
C10_Estadao_24-09-2022_21h45,47,c10e,politics,2022,Nenhuma hashtag de apoio a candidatos liderou os comentários no período analisado.,0
C10_Estadao_24-09-2022_21h45,48,c10e,politics,2022,"No Google, o nome do petista foi o mais pesquisado, seguido pelo atual presidente.",0
C10_Estadao_24-09-2022_21h45,49,c10e,politics,2022,O principal foco de interesse sobre Lula era a sua ausência no debate.,1
C10_Estadao_24-09-2022_21h45,50,c10e,politics,2022,"Opositores investiram na tag ""Bolsonaro corrupto"".",0
C10_Estadao_24-09-2022_21h45,51,c10e,politics,2022,Padre Kelmon também ajudou a colocar a pauta de costumes como segunda mais frequente no Twitter durante o debate.,0
C10_Estadao_24-09-2022_21h45,52,c10e,politics,2022,"Quanto a Bolsonaro, adversários conseguiram atrair o público para pautas como a compra de próteses penianas e Viagra para o Exército, assim como o orçamento secreto, esquema que envolve liberação de emendas em troca de apoio revelado pelo Estadão.",0
C10_Estadao_24-09-2022_21h45,53,c10e,politics,2022,"Quem mais gerou memes no debate, no entanto, foi a candidata Soraya Thronicke (União Brasil).",0
C10_Estadao_24-09-2022_21h45,54,c10e,politics,2022,"Simone Tebet (MDB) superou Ciro Gomes (PDT) e ocupou o terceiro posto, em um momento em que ambos tentam evitar a perda de apoio para Lula, por conta do fenômeno do ""voto útil"".",1
C10_Estadao_24-09-2022_21h45,55,c10e,politics,2022,"""tira remédio da Farmácia Popular, mas mantém a compra de Viagra; não compra vacina para a covid-19, mas distribui prótese peniana para seus amigos?""",-1
C10_Estadao_24-09-2022_21h45,56,c10e,politics,2022,"Torabit havia coletado mais de 328 mil tuítes ? ao menos 110 mil citaram diretamente Bolsonaro; sobre Lula, eram 92 mil.",0
C10_Estadao_24-09-2022_21h45_titulo,57,c10e,politics,2022,Corrupção pauta a repercussão nas redes sobre o debate entre candidatos a presidente Estadão/Eldorado.,0
C10_Estadao_24-09-2022_21h45_titulo,58,c10e,politics,2022,"Tema foi o mais comentado no Twitter após evento marcado por memes, ausência de Lula e aliado desconhecido de Bolsonaro.",1
C10_Folha_24-09-2022_19h55,59,c10f,politics,2022,"""Todo dia ele fala 'eu não sou ladrão'.",-1
C10_Folha_24-09-2022_19h55,60,c10f,politics,2022,A ausência do líder nas pesquisas foi criticada pelos demais candidatos.,0
C10_Folha_24-09-2022_19h55,61,c10f,politics,2022,"Bolsonaro disse que essa atitude demonstra falta de compromisso com a população, Ciro chegou a falar que o petista está de salto alto, e Tebet disse que o ex-presidente pede à população um cheque em branco ?a expressão tem sido usada diante da falta de detalhes sobre o que pretende fazer se for eleito.",0
C10_Folha_24-09-2022_19h55,62,c10f,politics,2022,"Ele acusou tanto Tebet como Soraya de se beneficiarem com verbas das emendas de relator, o chamado orçamento secreto, gastas com pouca transparência, e disse que o Orçamento é feito a quatro mãos, com o Executivo e o Legislativo.",0
C10_Folha_24-09-2022_19h55,63,c10f,politics,2022,Ele deve participar do debate da Globo na quinta-feira (29).,0
C10_Folha_24-09-2022_19h55,64,c10f,politics,2022,Ele vai ver se é ladrão ou não quando eu tomar posse e acabar com esse sigilo.,-1
C10_Folha_24-09-2022_19h55,65,c10f,politics,2022,"Em debate marcado pela ausência do ex-presidente Luiz Inácio Lula da Silva (PT), o presidente Jair Bolsonaro (PL) se tornou alvo principal das críticas dos adversários e protagonizou embates com Ciro Gomes (PDT), Simone Tebet (MDB) e Soraya Thronicke (União Brasil).",0
C10_Folha_24-09-2022_19h55,66,c10f,politics,2022,"Enquanto seus adversários debatiam no estúdio, o ex-presidente criticava Bolsonaro em Itaquera, na zona leste de São Paulo.",0
C10_Folha_24-09-2022_19h55,67,c10f,politics,2022,"Na primeira pergunta, Tebet cobrou o presidente sobre o corte de recursos para merenda e creches, disse que mães têm de explicar a seus filhos palavras chulas que o presidente diz e indagou por que ele não dá prioridade para as crianças.",0
C10_Folha_24-09-2022_19h55,68,c10f,politics,2022,"Na resposta, Bolsonaro insinuou que a emedebista dá apoio velado a Lula e disse que fala sim alguns palavrões, mas não defende ladrão.",0
C10_Folha_24-09-2022_19h55,69,c10f,politics,2022,"O debate deste sábado (24) foi organizado em pool por SBT, CNN Brasil, O Estado de S. Paulo, Terra, Veja e as rádios Eldorado e Nova Brasil.",0
C10_Folha_24-09-2022_19h55,70,c10f,politics,2022,O petista disse que não poderia comparecer porque já tinha compromissos agendados previamente e porque não haveria tempo para ele se preparar.,0
C10_Folha_24-09-2022_19h55,71,c10f,politics,2022,O púlpito reservado a Lula ficou vazio.,0
C10_Folha_24-09-2022_19h56,72,c10f,politics,2022,"""Qualquer coisinha, ele faz um decreto de sigilo de 100 anos"".",-1
C10_Folha_24-09-2022_19h55,73,c10f,politics,2022,"Sem o petista, Bolsonaro protagonizou os embates mais duros com as senadoras Tebet e Soraya.",1
C10_Folha_24-09-2022_19h55,74,c10f,politics,2022,"Substituto do bolsonarista Roberto Jefferson (PTB), impedido de concorrer, Padre Kelmon (PTB) fez dobradinhas com o presidente, em meio a perguntas permeadas críticas à esquerda sobre aborto e perseguição aos cristãos na Nicarágua.",1
C10_Folha_24-09-2022_19h55,75,c10f,politics,2022,"“Vou acabar no primeiro dia com isso, para [a gente] ver o que está escondido"", disse.",-1
C10_Folha_24-09-2022_19h55_titulo,76,c10f,politics,2022,"Bolsonaro trava embate com Ciro, Tebet e Soraya, e Lula é atacado por ausência em debate.",1
C10_Folha_24-09-2022_19h55_titulo,77,c10f,politics,2022,Padre Kelmon (PTB) faz dobradinha com Bolsonaro e pauta aborto no encontro.,1
C10_OGlobo_24-09-2022_18h15,78,c10o,politics,2022,"""O candidato Lula, que não veio, por estar com salto alto ou achar que já ganhou...",-1
C10_OGlobo_24-09-2022_18h15,79,c10o,politics,2022,"""Uma sabatina, um debate, é como uma entrevista de emprego.",-1
C10_OGlobo_24-09-2022_18h15,80,c10o,politics,2022,A primeira candidata a comentar a ausência de Lula foi Soraya Thronicke.,0
C10_OGlobo_24-09-2022_18h15,81,c10o,politics,2022,"Ciro Gomes disse que o petista ""desrespeita"" o eleitor ao não comparecer.",0
C10_OGlobo_24-09-2022_18h15,82,c10o,politics,2022,"Esse é o candidato Luiz Inácio Lula da Silva, que não merece o seu voto de maneira nenhuma"".",-1
C10_OGlobo_24-09-2022_18h15,83,c10o,politics,2022,"Jair Bolsonaro também atacou Lula - a quem voltou a chamar de ""presidiário"" - pela ausência no debate.",1
C10_OGlobo_24-09-2022_18h15,84,c10o,politics,2022,"Mas ele não vem mesmo porque não tem como explicar nem as promessas, porque tem quatro mandatos que você deu a ele e ele não cumpriu, nem a denúncia de corrupção"", disse Ciro.",-1
C10_OGlobo_24-09-2022_18h15,85,c10o,politics,2022,"Na sua participação inicial, a presidenciável do União Brasil afirmou:",0
C10_OGlobo_24-09-2022_18h15,86,c10o,politics,2022,"O debate, o segundo realizado nestas eleições, foi promovido por um pool de veículos de imprensa formado por SBT, CNN, 'Estadão'/Rádio Eldorado, Terra, Veja e Rádio Nova Brasil FM.",0
C10_OGlobo_24-09-2022_18h15,87,c10o,politics,2022,O segundo debate presidencial das eleições de 2022 realizado neste sábado (24) foi marcado por acusações de corrupção na gestão Jair Bolsonaro (PL) e críticas à ausência do ex-presidente Luiz Inácio Lula da Silva (PT) - que lidera as pesquisas de intenção de voto.,0
C10_OGlobo_24-09-2022_18h15,88,c10o,politics,2022,"Participam do debate: Jair Bolsonaro (PL), Ciro Gomes (PDT), Simone Tebet (MDB), Soraya Thronicke (União Brasil), Felipe D'Ávila (Novo) e Padre Kelmon (PTB).",0
C10_OGlobo_24-09-2022_18h15,89,c10o,politics,2022,"Portanto, ele desrespeita a todos nós, seus oponentes, e desrespeita especialmente a você [telespectador].",-1
C10_OGlobo_24-09-2022_18h15,90,c10o,politics,2022,Você aí na sua casa contrataria um candidato que faltou à entrevista de emprego?,-1
C10_OGlobo_24-09-2022_18h15_titulo,91,c10o,politics,2022,"Bolsonaro (PL), Ciro (PDT), Tebet (MDB), Soraya (União Brasil), Felipe D'Ávila (Novo) e Padre Kelmon (PTB) participaram de evento promovido por pool de veículos de imprensa.",0
C10_OGlobo_24-09-2022_18h15_titulo,92,c10o,politics,2022,Segundo debate tem acusações de corrupção contra Bolsonaro e críticas à ausência de Lula.,0
C11_Estadao_08-08-2006_12h11,93,c11e,daily,2006,"A decisão de manter os veículos nas garagens na segunda foi tomada gradualmente pelas cooperativas, depois de um suposto manuscrito do PCC ter sido jogado no Terminal Cachoeirinha, zona norte.",0
C11_Estadao_08-08-2006_12h11,94,c11e,daily,2006,"A ordem era para que ônibus e lotações deixassem de circular, sob pena de motoristas, cobradores e fiscais serem mortos.",0
C11_Estadao_08-08-2006_12h11,95,c11e,daily,2006,"A Transcooper recolocou os coletivos nas ruas às 4h30 e a Nova Aliança, às 7 da manhã.",0
C11_Estadao_08-08-2006_12h11,96,c11e,daily,2006,"Além de bases da polícia, sofreram ataques 22 ônibus, 34 bancos e 12 postos de gasolina.",0
C11_Estadao_08-08-2006_12h11,97,c11e,daily,2006,"Após uma segunda-feira em que foram registrados 22 ataques a ônibus em toda a cidade de São Paulo, na terceira onda de violência atribuída à facção criminosa Primeiro Comando da Capital (PCC) no Estado de São Paulo, a manhã de terça-feira, 8, foi normal na capital paulista.",1
C11_Estadao_08-08-2006_12h11,98,c11e,daily,2006,"As cooperativas de vans Transcooper, na zona oeste, e Nova Aliança, na zona norte, que chegaram a recolher os ônibus durante a segunda-feira, voltaram a circular.",0
C11_Estadao_08-08-2006_12h11,99,c11e,daily,2006,"De acordo com a CET, o excesso de veículos causa a lentidão e não há nenhum registro de acidente.",0
C11_Estadao_08-08-2006_12h11,100,c11e,daily,2006,"De acordo com a São Paulo Transportes (SPTrans), ambas circulam com 100% da frota.",0
C11_Estadao_08-08-2006_12h11,101,c11e,daily,2006,"De acordo com medição da Companhia de Engenharia de Tráfego (CET), às 11h30 desta terça-feira, 8, foram registrados 62 quilômetros de lentidão, bem superior à média registrada na semana passada, de 20 km.",0
C11_Estadao_08-08-2006_12h11,102,c11e,daily,2006,Foram 78 atentados atribuídos ao Primeiro Comando da Capital (PCC) na Grande São Paulo e em pelo menos cinco cidades do interior.,0
C11_Estadao_08-08-2006_12h11,103,c11e,daily,2006,"Mas, de acordo com as assessorias de ambas, desde a segunda o atendimento não sofreu nenhum tipo de interrupção, pois apesar dos estragos, a estrutura dos prédios não ficou comprometida.",0
C11_Estadao_08-08-2006_12h11,104,c11e,daily,2006,"No sentido Castelo Branco, também na pista expressa há 4 quilômetros de congestionamento após a Ponte Aricanduva até a Ponte Vila Maria.",0
C11_Estadao_08-08-2006_12h11,105,c11e,daily,2006,Os dois prédios foram alvos de ataques na madrugada de segunda-feira e tiveram suas portas principais destruídas por bombas de fabricação caseira.,0
C11_Estadao_08-08-2006_12h11,106,c11e,daily,2006,"Os piores pontos estão na Marginal do Tietê, sentido Ayrton Senna, na pista expressa, da Ponte Freguesia do Ó até a Rua Azurita com 7,7 quilômetros.",0
C11_Estadao_08-08-2006_12h11,107,c11e,daily,2006,Os prédios do Ministério Público e da Secretaria da Fazenda tiveram as entradas destruídas por bombas.,0
C11_Estadao_08-08-2006_12h11,108,c11e,daily,2006,"Outras três cooperativas das zonas leste e noroeste da capital, People, Associação Paulistana e Cooper Alfa, que também chegaram a recolher os veículos na segunda, operam normalmente.",0
C11_Estadao_08-08-2006_12h11,109,c11e,daily,2006,"Prédios do MPE e da Secretaria da Fazenda O Ministério Público Estadual (MPE) na Rua Riachuelo e a Secretaria Estadual da Fazenda, na Rua Rangel Pestana, no centro de São Paulo, também funcionam normalmente nesta terça.",0
C11_Estadao_08-08-2006_12h11,110,c11e,daily,2006,"Segundo a São Paulo Transportes (SPTrans), todas as empresas de ônibus e os terminais funcionam normalmente e não houve mais ataques a veículos.",0
C11_Estadao_08-08-2006_12h11,111,c11e,daily,2006,"Trânsito. Apesar do clima de tranqüilidade na capital, o congestionamento está alto na cidade.",0
C11_Estadao_08-08-2006_12h11_titulo,112,c11e,daily,2006,"Após ataques, paulistano tem manhã de terça-feira normal.",0
C11_Folha_08-08-2006,113,c11f,daily,2006,"A Assessoria Militar do Ministério Público, responsável pela segurança do prédio, acredita que a ação foi planejada, pois a bomba foi colocada -e não lançada- na porta do prédio e acionada por dispositivo de tempo.",0
C11_Folha_08-08-2006,114,c11f,daily,2006,"A destruição maior foi no interior do prédio, onde ficava a recepção.",0
C11_Folha_08-08-2006,115,c11f,daily,2006,A explosão fez um buraco no degrau da escada onde a bomba foi colocada.,0
C11_Folha_08-08-2006,116,c11f,daily,2006,"A única testemunha da explosão, um taxista que passava pela local e teve os vidros do carro destruídos, disse aos policiais não ter visto ninguém na rua.",0
C11_Folha_08-08-2006,117,c11f,daily,2006,"Bombas de fabricação caseira explodiram na sede do Ministério Público de São Paulo, no edifício que abriga a Secretaria da Fazenda e no fórum de Santo André.",0
C11_Folha_08-08-2006,118,c11f,daily,2006,"Com o impacto, o anteparo de vidro à prova de bala que ficava em frente à porta tombou, o detector de metal e o aparelho de raio",0
C11_Folha_08-08-2006,119,c11f,daily,2006,"Foi o primeiro ataque ao Ministério Público na capital paulista e o segundo no Estado -o primeiro foi em Mogi das Cruzes, em julho.",0
C11_Folha_08-08-2006,120,c11f,daily,2006,Ninguém ficou ferido.,0
C11_Folha_08-08-2006,121,c11f,daily,2006,"No Ministério Público, o artefato foi colocado no lado de fora, em frente à porta principal, na rua Riachuelo, 115, no centro, e foi detonado às 5h10.",0
C11_Folha_08-08-2006,122,c11f,daily,2006,"O expediente foi suspenso no início da manhã e, por volta das 10h, foi liberada a entrada pela avenida Brigadeiro Luís Antônio.",0
C11_Folha_08-08-2006,123,c11f,daily,2006,"O procurador-geral de Justiça, Rodrigo Rebello Pinho, disse que os promotores não vão se intimidar com o ataque, atribuído ao PCC.",0
C11_Folha_08-08-2006,124,c11f,daily,2006,"Os vidros da porta e das janelas foram quebrados, e os estilhaços estavam por toda a entrada e também na calçada.",0
C11_Folha_08-08-2006,125,c11f,daily,2006,Pinho pediu reforço na segurança do prédio e o promotor que quiser também poderá ter escolta policial.,0
C11_Folha_08-08-2006,126,c11f,daily,2006,Prédios públicos voltaram a ser alvo do PCC no começo da manhã de ontem.,0
C11_Folha_08-08-2006,127,c11f,daily,2006,Somente no fim da manhã o expediente voltou ao normal.,0
C11_Folha_08-08-2006,128,c11f,daily,2006,X foram destruídos e o forro de gesso que cobria o teto caiu.,0
C11_Folha_08-08-2006_titulo,129,c11f,daily,2006,Artefatos de fabricação caseira foram lançados na sede da Secretaria Estadual da Fazenda e no fórum de Santo André.,0
C11_Folha_08-08-2006_titulo,130,c11f,daily,2006,"Explosão fez buraco na escada e destroçou detector de metal, raio-X e forro do teto; expediente ficou suspenso de manhã.",0
C11_Folha_08-08-2006_titulo,131,c11f,daily,2006,Sede do Ministério Público é alvo de bomba.,0
C11_OGlobo_07-08-2006_08h29,132,c11o,daily,2006,"A bomba, composta por parafusos e materiais metálicos, provocou estragos em portas e janelas que ficam a cerca de 20 metros do local da explosão.",0
C11_OGlobo_07-08-2006_08h29,133,c11o,daily,2006,A rua foi interditada pela polícia.,0
C11_OGlobo_07-08-2006_08h29,134,c11o,daily,2006,A Vara de Execuções Criminais do Estado já registrou 900 pedidos de autorização de saída temporária.,0
C11_OGlobo_07-08-2006_08h29,135,c11o,daily,2006,"As ações criminosas podem ter sido ordenadas pelos líderes do Primeiro Comando da Capital (PCC), que haviam prometido retomar os ataques no Estado de São Paulo no Dia dos Pais, no próximo domingo.",0
C11_OGlobo_07-08-2006_08h29,136,c11o,daily,2006,"Na capital, houve ataques a outros quatro ônibus.",0
C11_OGlobo_07-08-2006_08h29,137,c11o,daily,2006,Na região do ABC Paulista pelo menos dez ônibus foram incendiados - sete em Mauá e três em Santo André.,0
C11_OGlobo_07-08-2006_08h29,138,c11o,daily,2006,"No momento, apenas um taxista e um passageiro estavam na rua.",0
C11_OGlobo_07-08-2006_08h29,139,c11o,daily,2006,O benefício depende de decisão judicial após análise do Ministério Público e os presos poderiam deixar a cadeia no período do dia 9 até 15 de agosto.,0
C11_OGlobo_07-08-2006_08h29,140,c11o,daily,2006,"O prédio da secretaria da Fazenda, no centro, foi atingido por três bombas caseiras.",0
C11_OGlobo_07-08-2006_08h29,141,c11o,daily,2006,"Os bandidos atacaram agências bancárias, bases policiais e prédios públicos com bombas e tiros.",1
C11_OGlobo_07-08-2006_08h29,142,c11o,daily,2006,Os líderes da facção criminosa PCC haviam prometido uma nova onda de ataques caso o Ministério Público de São Paulo negasse a saída temporária de presos em virtude do Dia dos Pais.,0
C11_OGlobo_07-08-2006_08h29,143,c11o,daily,2006,Uma bomba caseira foi atirada contra a sede do Ministério Público (MP).,0
C11_OGlobo_07-08-2006_08h29,144,c11o,daily,2006,"Uma bomba caseira foi jogada contra o prédio do Ministério Público, na capital do estado.",0
C11_OGlobo_07-08-2006_08h29,145,c11o,daily,2006,"Uma nova série de ataques criminosos foi registrada na madrugada desta segunda-feira, dia 7, em São Paulo e municípios do interior paulista.",1
C11_OGlobo_07-08-2006_08h29_titulo,146,c11o,daily,2006,PCC realiza nova onda de ataques e sede do MP é atingida por bomba,0
C12_Estadao_07-08-2006_02h29,147,c12e,world,2006,"A agência sul-coreana ""Yonhap"" disse na sexta-feira que um alto funcionário de Pyongyang pediu o envio urgente de alimentos para seu país.",0
C12_Estadao_07-08-2006_02h29,148,c12e,world,2006,A Coréia do Sul interrompeu em julho o envio de alimentos ao vizinho do norte depois de o regime comunista disparar sete mísseis balísticos em um gesto de desafio.,0
C12_Estadao_07-08-2006_02h29,149,c12e,world,2006,A Federação Internacional da Cruz Vermelha indicou na sexta-feira que cerca de 17 mil famílias ficaram desabrigadas por causa das inundações.,0
C12_Estadao_07-08-2006_02h29,150,c12e,world,2006,"Além do número de mortos e desaparecidos, o ""Choson Sinbo"" acrescenta um total de 3.043 feridos.",0
C12_Estadao_07-08-2006_02h29,151,c12e,world,2006,"Analistas indicaram nos últimos dias que o país pode passar por outra crise com a falta de alimentos, que nos anos 90 matou de fome entre um milhão e 2,5 milhões de pessoas, segundo diferentes dados.",0
C12_Estadao_07-08-2006_02h29,152,c12e,world,2006,"Apesar de o Governo norte-coreano ter rejeitado o envio de ajuda estrangeira para atenuar os danos causados pelas chuvas torrenciais, a emissora de TV oficial do país começou a transmitir nos últimos dias notícias sobre a iminente chegada de comida e bens de primeira necessidade do exterior.",0
C12_Estadao_07-08-2006_02h29,153,c12e,world,2006,"As inundações destruíram grande parte dos cultivos de cereais na Coréia do Norte, que já sofre com um forte racionamento.",0
C12_Estadao_07-08-2006_02h29,154,c12e,world,2006,"Já está em 549 mortos e 295 desaparecidas com as inundações que afetaram a Coréia do Norte, informou hoje um jornal pró norte-coreano publicado no Japão, que citou fontes oficiais de Pyongyang.",0
C12_Estadao_07-08-2006_02h29,155,c12e,world,2006,"No entanto, a publicação, que cita autoridades norte-coreanas, desmentiu o número de até 10 mil mortos pelas inundações, calculado por algumas ONGs que trabalham na Coréia do Norte.",0
C12_Estadao_07-08-2006_02h29,156,c12e,world,2006,"No entanto, depois de conhecer a dimensão das inundações, o Governo de Seul manifestou sua predisposição em oferecer ajuda à Coréia do Norte caso aconteça uma nova crise alimentícia.",0
